,S01,S02,S03,S04,S05,S06,S07,S08,S09,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48
0,25145,25354,25020,24268,23855,23574,23285,22844,22723,23197,24158,25678,28313,31066,33866,35141,35756,35679,35821,35364,35052,34936,35330,35444,35588,35478,35310,35294,35365,35460,35515,35898,36449,37477,38385,38718,39362,40239,39759,39070,37971,36433,34474,32707,30515,28795,26982,25772
1,25391,25352,24839,24047,23428,23093,22558,22246,22144,22340,23162,24470,26932,29527,32494,33785,34687,34613,34751,34765,34416,34458,34373,34438,34236,33816,33489,33146,33222,33091,32938,33684,34566,35776,36902,37432,37897,38155,37761,37048,35976,34735,33228,31626,29761,28494,26928,25763
2,25490,25601,25070,24320,23662,23264,22888,22532,22330,22236,22424,23123,24289,25418,27063,27944,29100,29924,29983,29566,29363,29143,28909,28784,28563,28459,28282,28106,27987,28232,28786,29518,30566,32022,33687,34711,35499,36301,36107,35103,34507,33710,32351,30926,29650,28417,27021,26013
3,25607,25708,25200,24461,23895,23522,22955,22506,22150,21863,22109,22213,22631,22992,23384,23532,24055,24305,24315,24085,23814,23323,23151,22882,23027,22890,22525,22150,22346,22814,23640,24897,26548,28708,30809,32103,33149,34286,34486,33778,33145,31716,30313,28590,26958,25372,23624,22496
4,22329,22758,22489,21977,21535,21378,21285,21163,21265,21492,22586,23924,27053,29730,32364,32885,32714,31833,31409,30739,30264,30088,30134,30122,30113,29867,29644,29364,29628,29955,30642,32018,33608,35431,37222,38451,39091,40641,41146,40602,39252,37927,36281,34293,31995,30087,28346,27231
5,26796,27013,26601,25969,25397,25150,24657,24373,24403,24547,25591,26833,29642,32077,34516,35095,35086,34283,33834,32981,32156,31916,32205,32466,32541,32086,31783,31474,31435,31359,31558,32693,33958,35804,37478,38370,39119,40497,40744,40132,38995,37458,35888,33719,31492,29626,27634,26379
6,26044,26356,25965,25231,24747,24543,24210,23914,23856,24130,25116,26416,29308,31909,34481,35292,35318,35086,35041,34858,34615,34431,34407,34253,34302,33929,33538,32971,32749,32684,32907,33775,34880,36448,37700,38516,39257,40253,40757,40064,38921,37795,36160,34106,32241,30409,28319,27051
7,26724,26906,26313,25791,25325,25180,24775,24511,24571,24720,25668,26834,29726,32344,34800,35086,34969,34470,34265,33370,32489,31846,31279,31030,30788,30343,29931,29597,29655,29540,29813,30797,32137,33918,35265,35613,36589,38082,38881,38228,37304,36325,34783,32720,30701,29077,27200,25828
8,25400,25644,25211,24635,24124,23808,23398,23201,23186,23464,24450,25485,28349,30817,33101,33623,33902,33041,32404,31395,30340,29512,29102,28629,28399,28035,27658,27486,27703,28024,28472,29555,31017,32750,34260,35246,36118,36975,37339,36683,36001,35113,33901,32233,30539,29125,27537,26506
9,26080,26173,25665,24804,24401,24037,23637,23225,23097,22959,23363,23638,24769,25730,26854,27473,27953,28278,28398,28156,27917,27342,26775,26237,25889,25440,25092,24932,24828,25100,25705,26659,27940,29293,30972,32263,33208,34176,34372,33790,32908,32097,31251,30058,28648,27577,26049,25045
10,24637,24714,24322,23465,22880,22487,22019,21659,21624,21652,22381,22602,23558,24500,25641,26341,27290,27635,27863,27728,27546,27334,27093,26921,26501,26156,26077,25816,25949,26342,26964,27925,28978,29886,30823,31695,32354,33365,34565,33756,32824,31272,29676,27863,25825,24447,27366,25949
11,23359,22788,22917,23646,23673,23403,23127,22890,22917,23193,23803,25163,28252,30948,34213,35811,35987,35749,35368,34413,33311,32320,31818,31255,30961,30434,29948,29484,29467,29462,29491,30412,31579,33019,34303,35039,35948,36459,37089,37500,37409,36730,35637,33652,31525,29473,28693,26996
12,24680,24089,24355,24970,25078,24808,24737,24647,24556,24550,25161,26382,29243,31610,35016,36777,37663,37440,37770,37692,37242,37173,37099,36838,36775,36434,35760,35065,34688,34391,34060,34824,35596,36838,37462,38140,38375,38717,39049,39672,39835,38760,37344,35323,33063,30828,28872,27131
13,25734,25055,25147,25708,25738,25464,25180,24939,24593,24609,25393,26697,29781,32501,35830,37128,37567,37161,37180,37605,36913,36658,36506,36497,36280,36169,35483,34895,34545,34269,34253,34789,35594,36472,37090,37800,38542,38866,38606,38702,39167,38139,36802,35080,33298,31172,27190,25686
14,25851,25224,25380,26093,26175,25975,25733,25683,25589,25483,26350,27526,30371,32922,35977,37516,38027,37646,37778,37386,36987,36994,36976,36720,36636,36204,35613,35017,35111,35014,35128,35480,35926,36364,37193,37439,37761,38092,38305,38156,38154,37250,35602,33634,31393,29267,27423,25989
15,24395,23777,24034,24961,25014,24740,24431,24296,24253,24271,24876,25917,28453,30980,33930,35250,35773,35100,34916,34785,34040,33563,33354,33155,33072,32706,31782,31761,31575,31588,31693,31900,32919,33811,34556,35181,34974,34942,35046,35360,35476,35239,34576,32759,30903,29287,26604,25238
16,24810,24185,24491,25057,25039,24610,24165,23966,23753,23675,23797,24261,25509,26296,27965,29183,30416,31073,31515,31352,31176,30789,30483,30006,29712,29359,28860,28366,28175,28316,28551,28922,29838,30622,31408,32178,32690,32939,32798,32807,33019,32395,31753,30799,29660,28301,25363,24069
17,24117,23590,23732,24128,24018,23652,23188,22935,22621,22300,22324,22422,23103,23467,24686,25709,27054,28073,28956,29409,29780,29939,30086,30008,29955,29858,29434,29110,29111,28798,28998,29262,29816,30782,31748,32163,32452,32550,32737,32889,33286,32627,31643,30298,29039,27200,27010,25350
18,23060,22548,22839,23386,23450,23250,22909,22697,22613,22673,23451,24663,27459,29822,32697,34174,35123,35409,35405,35290,34858,34735,34667,34069,33486,32950,32432,31775,31680,31442,31331,31736,32462,33562,34551,35274,35886,36248,36492,36616,36645,36107,34962,32970,31080,29017,27583,25988
19,24306,23790,23809,24358,24260,23836,23478,23224,23129,23171,23800,24984,27552,29781,32638,34202,35490,35376,35380,35139,34961,34722,34365,34099,34016,33648,33294,33085,32958,32808,33060,33506,33899,34765,35579,36127,36349,36533,36740,37073,37213,36733,35515,33357,31585,29617,28447,26951
20,24878,24380,24578,25165,25133,24824,24571,24500,24419,24519,25145,26104,28323,30820,33807,34798,35400,35285,35093,34896,34416,33696,33022,32454,32041,31029,30258,29412,29063,28800,28774,29340,30059,31167,32759,33821,34800,35154,35641,35834,36346,35988,35280,33924,32055,30453,28565,27093
21,25679,25199,25337,25895,25807,25738,25478,25343,25354,25396,26179,27543,29939,32379,35027,36229,36913,36002,35609,34921,34176,33505,32907,32298,31773,31042,30320,29731,29599,29362,29414,29998,30830,32036,33314,34368,35319,35989,36190,36523,37037,37053,35941,34388,32467,30640,27553,26010
22,25754,25281,25461,25935,25864,25648,25267,25078,25070,25134,26012,27216,29460,31545,34002,34866,35511,35575,35384,34446,33695,33386,33109,33160,33246,32831,32406,31961,32017,31935,32045,32334,32959,34006,34846,35401,35769,35724,35818,35992,36219,35844,34289,32794,31212,29458,26069,24787
23,24893,24269,24427,24978,24895,24661,24274,24144,23937,23819,24003,24375,25241,26275,27787,28216,28963,29072,28935,28143,27600,27105,26810,26524,26238,25801,25525,24932,24659,24510,24315,24746,25523,26758,28395,29764,30601,31270,31711,32033,32655,32298,31594,30580,29113,27643,25522,24087
24,23539,23003,23365,23698,23602,23341,22837,22799,22632,22523,22609,22640,22872,23479,24443,25190,26113,26243,26695,26811,27134,27206,27273,27507,27844,27919,27698,27507,27912,28037,28282,28645,29162,29979,31231,31830,32077,32468,32702,32860,33106,33003,32504,30766,29195,27404,26439,25130
25,22931,22409,22651,23181,23260,22948,22611,22438,22429,22186,22983,24140,26430,28672,31472,32804,33655,33629,33180,32195,31122,30153,29343,28783,28569,28141,27719,27217,27404,27519,27877,28600,29583,30769,32033,32890,33357,33736,34177,34273,34529,34622,33750,32074,30281,28488,27344,25825
26,24065,23485,23660,24366,24235,24157,24059,23988,23831,24024,24857,25832,27865,29971,32369,33678,35066,35135,35166,34721,34231,34171,34019,33841,33714,33172,32969,32601,32479,32545,32778,33308,33790,34426,35387,35783,36200,36401,36479,36688,36537,36330,35124,33175,31441,29285,26729,25327
27,24710,24177,24361,24921,25021,24714,24533,24331,24149,24125,24892,25910,28156,30130,32362,32894,33551,33384,33191,32194,31360,31084,30627,29898,29549,29097,28454,28147,28118,28171,28442,28960,29630,30683,31792,32174,32732,33102,33706,34024,34630,34659,33490,31939,30494,28639,25727,24317
28,24076,23542,23581,23825,23753,23278,23010,22813,22859,23060,23821,24795,26605,28609,31119,31987,32384,31933,31488,30782,30135,29486,29005,28404,28052,27437,27014,26743,26413,26480,26997,27242,28089,29030,30044,30418,31074,31479,31409,31599,31902,32073,31607,30529,29178,27514,24970,23558
29,23106,22605,22534,22737,22558,22177,21817,21528,21346,21259,21752,22192,23101,24093,25432,26117,26420,26267,25854,25479,25453,25202,24553,24019,23518,23057,22287,21716,21803,21660,21933,22441,23467,25015,26466,27571,28305,28874,29068,29245,29722,29898,29390,28484,27838,26581,24123,22777
